city_name,program_name
Aachen,"['AMBICA EDELSTAHL GmbH', 'Aixery GmbH', 'Aixonix Beteiligungs- und Verwaltungs GmbH', 'Anstrich Heinen Gesellschaft mit beschränkter Haftung', 'B.F.G. Beton-Fördergesellschaft mit beschränkter Haftung Aachen-Düren-Jülich', 'BESTEMA Verwaltungs GmbH', 'BG Gastronomie GmbH', 'Birgus GmbH', 'Brilliant Chem Europe GmbH', 'C & O Travel - Laurensberger Reisebüro GmbH', 'CROMSOURCE GmbH', 'Cuise Germany GmbH', 'DEMA Media UG (haftungsbeschränkt)', 'DEX Solution GmbH', 'DYNA-MESS Holding GmbH', 'Dedicated Consulting UG (haftungsbeschränkt)', 'Delikat Weinhandels GmbH', 'Dorfgemeinschaftshaus Kesternich GmbH', 'ELW Zwei Verwaltungs GmbH', 'EMA Elektronik-Maschinen-Apparatebau Gesellschaft mit beschränkter Haftung', 'Eislounge Portofino GmbH', 'Energie 2030 GmbH', 'Fiberpipe GFK Vertriebsgesellschaft mbH', 'GAZ Holding UG (haftungsbeschränkt)', 'GZ Eschweiler Verwaltungs GmbH', 'Goffex Handels GmbH', 'Grand Systems GmbH', 'HG Aachen GmbH', 'ISI Integrierte Sanierungs- und Insolvenzberatung GmbH Wirtschaftsprüfungsgesellschaft', 'Ilikel Engineering GmbH', 'InnovaPlan Betonbodenvertriebsges. mbH', 'Istanbul Kuyumculuk GmbH', 'IwF GmbH INSTITUT FÜR WERKZEUGLOSE FERTIGUNG', 'JELTA CONSULTING GmbH', 'JR Logistics GmbH', 'Jansen Stukkateur Unternehmergesellschaft (haftungsbeschränkt)', 'Jütten Immobilien UG (haftungsbeschränkt)', 'KK-Trucks GmbH', 'KSW-Gaststätten-GmbH', 'Kids Profi-Portrait GmbH', 'KöBi GmbH', 'Laakmann Malerbetrieb UG (haftungsbeschränkt)', 'Lalu UG (haftungsbeschränkt)', 'Lee Bruder Union UG (haftungsbeschränkt)', 'MAHN & ROT GmbH', 'MAS Stahl- und Metallbau Verwaltungs GmbH', 'MEX-AL GmbH', 'MONTUX GmbH', 'Maik Trenkelbach EDV-Beratung und Programmierung GmbH', 'Manfred Zaunbrecher Verwaltung GmbH', 'Meyer-Konzerte Verwaltungs-GmbH', 'Midibero GmbH', 'Mise en Place Verwaltungs GmbH', 'NORBEG Steuerberatungsgesellschaft mbH', 'P.A. Bautenschutz GmbH', 'PINE-LIFE Inneneinrichtung GmbH', 'PKG Prüf- und Kalibriertechnik GmbH', 'PRANA Immobilienverwaltung GmbH', 'Popp Capital GmbH', 'RACEPACE GmbH', 'RTB Holding UG (haftungsbeschränkt)', 'Rademacher Maschinenbau + Baumaschinen GmbH', 'Rainer Scholz GmbH', 'Restaurant Kornmühle GmbH', 'RobMation GmbH', 'Rotärmel GmbH', 'Rüben-Böhm Steuerberatungsgesellschaft mbH', 'Salon Alesan UG (haftungsbeschränkt)', 'Sanitätshaus Arnolds GmbH', 'Schmitz & Niewel Fussbodenbau GmbH', 'Schumacher Verwaltungs GmbH', 'Schwaneberg Holding GmbH', 'Simone Savelberg UG (haftungsbeschränkt)', 'Specksteinofenhaus Ofenhandelsgesellschaft mbH', 'SproLoo Deutschland UG (haftungsbeschränkt)', 'Staffable Germany GmbH', 'Stollenwerk Verwaltungs GmbH', 'Systems Engineering Kalibrierlaboratorium Verwaltungs GmbH', 'Söldner GmbH', 'TS Elino GmbH', 'TS TestingService GmbH', 'Theves Holding Verwaltungs GmbH', 'Transport- und Umzugsservice KAOS UG (haftungsbeschränkt)', 'UB-Treuconsult UG (haftungsbeschränkt)', 'Vander Vreken Malerwerkstätte GmbH', 'VerticalRetailSystems Franchise GmbH', 'VerticalRetailSystems Holding GmbH', 'VnX Distribution GmbH', 'WOTAX StBG GmbH II - Steuerberatungsgesellschaft -', 'Wegener International GmbH', 'ZEUS Holding GmbH', 'de Boer Real Estate Asset Management GmbH', 'hks | architekten GmbH', 'iBOSS GmbH', 'itRessort GmbH', 'itb-H UG (haftungsbeschränkt)', 'mageco wave GmbH', 'mic FRISEURE UG (haftungsbeschränkt)', 'transbond GmbH', 'uniglassAC GmbH']"
Altenburg,[]
Amberg,"['AMA GmbH', 'Alois Auer Verwaltungs GmbH', 'Amberger Sportpark GmbH', 'Anlagen- und Umwelttechnologie A I - A III - B GmbH', 'Auto Feldmeier GmbH', 'Autohaus Groß GmbH', 'Autohaus Lehner GmbH', 'B&H Verwaltungs-GmbH', 'BIG Bau-Verwaltungs-GmbH', 'BKFZ GmbH', 'BLEND BAU-Gesellschaft mit beschränkter Haftung', 'BTA Beton Teile Auerbach GmbH', 'Bavaria Möbel und Sanitär GmbH', 'BeTeMa GmbH', 'Birner Kunststofftechnik GmbH', 'Birner Verwaltungs-GmbH', 'Brese GmbH', 'Colomba GmbH', 'Concilium Christopher Sirtl Steuerberatungsgesellschaft mbH', 'Concilium Michaela Meier Steuerberatungsgesellschaft mbH', 'Dorn Elektro-Technik GmbH', 'Dragon Fördertechnik GmbH', 'ELI GmbH', 'EMZ wohnmanufaktur GmbH', 'EUFIDA GmbH', 'EUKA - Europa Kontakt Akademie UG (haftungsbeschränkt)', 'Eclipsis UG (haftungsbeschränkt)', 'Eduard Kohl Bauunternehmen GmbH', 'Expedicial Reise GmbH', 'Flierl Heizungsbau GmbH', 'Frahcs GmbH', 'GMK electronic design GmbH', 'Galabau Haziri UG (haftungsbeschränkt)', 'Gebäudereinigung Fruth GmbH', 'Gloxkuni GmbH', 'Gourmet Tempel Schwandorf Vermietungs GmbH', 'Grundt Holding GmbH', 'HLW Dentalinstruments GmbH', 'HOSEVO GmbH', 'Hans Wagner GmbH', 'Haubner GmbH Regensburger Straße', 'Interway Schaden Service GmbH', 'Jugend- und Familienhilfe Praxis Döpfer GmbH', 'KKH - Waschpark Wernberg GmbH', 'KTS Kältetechnik Schwedt GmbH', 'Kerres Wohnbau GmbH', 'Koller GmbH', 'Kubus GmbH', 'Küblböck Grundstücksentwicklungs-GmbH', 'Küblböck Projektentwicklungs-GmbH', 'LEONIE Verwaltungs GmbH', 'Lautenschlager GmbH', 'Lorey Medtec GmbH', 'Lotter Verwaltungs GmbH', 'M. Hinz Nutzfahrzeuge GmbH', 'MA-DATA UG (haftungsbeschränkt)', 'MAX GmbH', 'Maschinen- und Stahlbau Feuerer GmbH', 'Möbel Ostler GmbH', 'Oberpfalzkurier GmbH', 'Peschl Zeitpersonal GmbH', 'Praxis für Zahnheilkunde Dr. Seitz MVZ GmbH', 'QUADRUS Metalltechnik GmbH', 'RUV Verwaltungsdienste GmbH', 'Ramteid GmbH', 'Roith Heizung-Sanitär GmbH', 'S&G GmbH', 'Sadler GmbH', 'Sanitätshaus Nimbs GmbH', 'Scharnagl Metallbau GmbH', 'Schmutzer & Ostermann GmbH', 'Schneider Verwaltungs-GmbH', 'Schreinerei Pfitzner GmbH', 'Schwandner Verwaltungs GmbH', 'Svensson UG (haftungsbeschränkt)', 'TP Weinhart GmbH', 'TSG Tankschutz GmbH', 'Team Prof. Venker Innovationswerkstatt Gesellschaft für Projektmanagement und Unternehmensberatung mbH', 'Tranutec Vertriebs GmbH', 'Ultimate Renaissance GmbH', 'V.T.I. UG (haftungsbeschränkt)', 'VV Victoria Zweite Vermögensverwaltungs GmbH', 'VuB Immobilienverwaltungsgesellschaft mbH', 'W-Sports Management GmbH', 'WIEMETA Zerspanungstechnik GmbH', 'WIGENTO GmbH', 'WK Immobilien GmbH', 'Wasserkraft Oberlausitz GmbH', 'Wiesner Verwaltungs GmbH', 'Winkler Verwaltungs GmbH', 'Wurdies Verwaltungs-GmbH', 'Xaver Schmid Verwaltungs GmbH', 'aks maschinenbau Verwaltungs-GmbH', 'bk-Interferenzoptik Elektronik GmbH', 'emz international GmbH', 'icr innovative creative roomdesigns GmbH', 'iqdentis GmbH', 'mac-IT-run GmbH', 'rezila metz GmbH', 'ticia GmbH']"
Ansbach,"['ALBOMA GmbH', 'AOS Akustik Office Systeme GmbH', 'Actuator Solutions GmbH', 'Adventure Campus GmbH', 'AngelHAACK Verwaltungs GmbH', 'BBT Vermögensverwaltungs GmbH', 'Bagger - Bast Betriebs GmbH', 'Bauereiß GmbH', 'Beil Immobiliendienstleistungs GmbH', 'Bioenergie Steingruber Verwaltungs-GmbH', 'Bräunlein Baggerarbeiten GmbH', 'Byteghoul UG (haftungsbeschränkt)', 'Cactus Services UG (haftungsbeschränkt)', 'Capito Verwaltungs GmbH', 'Casa Nova Event UG (haftungsbeschränkt)', 'DS Driving Solutions GmbH', 'DVB GmbH', 'Deininger & Renner GmbH', 'Demeterhof Schwab Verwaltungs GmbH', 'Drehstrom Hecht GmbH', 'Elektro Kreißl GmbH', 'Emini Bautenschutz GmbH', 'FDL Realis GmbH', 'FENSTERHAUS GmbH', 'FINANZhoch3 Management- und Verwaltungs GmbH', 'FL Management GmbH', 'Fleischmann GmbH', 'Fliesen Schindler GmbH', 'Frank Güllich GmbH', 'Franken-Transport GmbH', 'GFD - Gesellschaft für Deponiegas mbH', 'Gego Handels- und Vertriebs GmbH', 'Gemeinde Geslau Grundbesitz UG (haftungsbeschränkt)', 'Günther Mühlberger GmbH', 'H&R Europa Handelsgesellschaft mbH', 'HELE GmbH Hygiene- und Arbeitsschutzkleidung', 'Hasel GmbH', 'HausFux GmbH', 'Herbst Buchhaltungsbüro UG (haftungsbeschränkt)', 'Hertlein-GmbH, Pinselmanufaktur', 'Hiremyservice UG (haftungsbeschränkt)', 'Hirsch Verwaltungs-GmbH', 'Holzbau Eischer UG (haftungsbeschränkt)', 'Hornikel GmbH', 'Hydraulikschläuche Andreas Beß GmbH', 'IBC ARZER GmbH International Business Contacts', 'Integra GmbH', 'JVB Vermittlungen UG (haftungsbeschränkt)', 'KFO Verwaltungs- GmbH', 'KP Ingenieurgesellschaft für Wasser und Boden mbH', 'Kautz GmbH', 'Knoll Verwaltungs GmbH', 'L&M Immobilien-GmbH Lothringerstraße 24 Nürnberg', 'LWS GmbH Lechner Werkzeug Service', 'MS-Motoring GmbH', 'Markus Schimpl GmbH', 'Maschinen Wicke GmbH', 'Metzgerei Karl Holch GmbH', 'Mono Verwaltungs-GmbH', 'Müller Flüssiggas Vertriebs GmbH', 'Nahverkehrsgesellschaft Scharnagel GmbH', 'Obel Natursteine GmbH', 'Optidental Spezialdepot für Praxis u. Labor GmbH', 'Pegasus Reifen UG (haftungsbeschränkt)', 'Pleinfelder Quarzsand Verwaltungs- GmbH', 'Preis - Schneider GmbH', 'Projektgesellschaft Rübengarten mbH', 'Promotess-Events UG (haftungsbeschränkt)', 'Reifen Löbert GmbH', 'Reisefundgrube Zentrale GmbH', 'Rudat GmbH', 'SKS Service GmbH', 'SL Time GmbH', 'Schmetterling Reisebüro Ansbach GmbH', 'Schmidt Wasser Wärme GmbH', 'Schwill Verwaltungs GmbH', 'Seniorenpflegeheim Landhaus Altmühltal GmbH', 'Siboney International UG (haftungsbeschränkt)', 'Silbermühle Vino Y Tapa GmbH', 'Simpel Wohnbau GmbH', 'Solarpark Emma Verwaltungs-GmbH', 'Steinbruch ""Toskana"" Verwaltungs UG (haftungsbeschränkt)', 'Stengel GmbH', 'Stettner GmbH', 'TIOTOU GmbH', 'Templa Verwaltungs-GmbH', 'Thomas Blank Verwaltungs GmbH', 'TopTipp GmbH', 'Vermögensverwaltung Kozany & Hey Companies GmbH', 'W. Dauberschmidt Bauträgergesellschaft mbH', 'WENTIM Transport GmbH', 'Wenzel C + C Transport GmbH', 'Willi Dauberschmidt GmbH Bauunternehmen - Transportbeton', 'Windkraft Wettringen Verwaltungs GmbH', 'Wärmenetz Oberdachstetten Verwaltungs UG (haftungsbeschränkt)', 'Wüst Hochbau GmbH', 'Z.A.M. GmbH', 'Zimmerei & Dacheindeckungen Frischeisen GmbH', 'iomicron Beteiligungsgesellschaft mbH', 'Öko-Natur-Haus GmbH']"
Apolda,[]
Arnsberg,"['""FRAU"" Verwaltung GmbH', 'ANFOTEC Antriebstechnologie GmbH', 'ATILUM Projektlicht GmbH', 'ATW - Abdichtungstechnik Winterberg GmbH', 'Aland GmbH', 'Alentec GmbH', 'Alte Vogtei UG (haftungsbeschränkt)', 'Autoservice Sydow GmbH', 'BIOLANDBAU Kemper GmbH', 'Bauunternehmung Einhäuser GmbH', 'Berens Dach GmbH', 'Biotec Sundern Geschäftsführungs- und Verwaltungs-GmbH', 'Braut- und Abendmoden Brilon GmbH', 'Busch & Co., Beteiligungs-Gesellschaft mit beschränkter Haftung', 'BÖDEFELD - HUNAU - LIFT - Gesellschaft mit beschränkter Haftung', 'Böhme Handels UG (haftungsbeschränkt)', 'Börde Immobilienverwaltung UG (haftungsbeschränkt)', 'C & W Bedachungs GmbH', 'COMVERSA Vermittlungsgesellschaft für Kapitalanlagen, Bausparen und Versicherungen m.b.H.', 'Christoph Schulte GmbH', 'Dr. Dubslaff & Rosenkranz Verwaltungs-GmbH', 'EVOTEC GmbH', 'ElWi-Verwaltungs UG (haftungsbeschränkt)', 'Elektro Hegener GmbH', 'Elektrokohle Service GmbH', 'Exakt-Hausverwaltung GmbH', 'FABAS LUCE GmbH', 'FACH-PAK Germany GmbH', 'Farben Günther GmbH', 'Ferdi Kaiser GmbH', 'Field Digital GmbH', 'Finkendei Metallverarbeitung Verwaltungs-GmbH', 'Foods and Logistics Solution Brilon UG (haftungsbeschränkt)', 'Fr. Kneer & Söhne Verwaltungs GmbH', 'Franz Hagen Verwaltungs-GmbH', 'Frese Beteiligungs-GmbH', 'GK Verwaltungsgesellschaft mbH', 'GS Wärmesysteme GmbH', 'GTW GmbH', 'GebrauchtMacs.de GmbH', 'GrögerHaus & Immobilien GmbH', 'HMB Horizontalbohrtechnik-Müller-Becker-GmbH', 'HOPPECKE Industriebatterien Beteiligungsgesellschaft mbH', 'Hans Albert Rüth & Sohn GmbH', 'Hans Torley Gesellschaft mit beschränkter Haftung', 'Hans Wilms Beteiligungs-GmbH', 'Hegener Treuhand GmbH Steuerberatungsgesellschaft', 'Hegener-Meine Verwaltungs GmbH', 'Heinrich Berndes Haushaltstechnik Verwaltungsgesellschaft mit beschränkter Haftung', 'Hesse Metalltechnik GmbH', 'Immo 69 GmbH', 'Ingenieurgesellschaft für Energietechnik mbH Dr. Rudolphi - Dr. Dubslaff - Rosenkranz', 'KIMIYA GmbH', 'KWK Marsberg GmbH', 'Kleffner & Kleffner GmbH', 'Körling Gesellschaft mit beschränkter Haftung', 'LB Red Bowl GmbH', 'Leimbach GmbH', 'M & Z GmbH', 'Meckelburg Brilon GmbH', 'Mimberg & Feldmann GmbH', 'Mit System planen Verwaltungs-GmbH', 'Norbert Kampmann, Tabakwarengroßhandlung, GmbH', 'OS Verwaltungs-GmbH', 'PEACH WORLD (Germany) GmbH', 'Pater Münzen und Medaillen GmbH', 'Prestige Automobile Verwaltungsgesellschaft mbH', 'ProNet Unternehmergesellschaft (haftungsbeschränkt)', 'REMBE Research + Technology Center GmbH', 'RENTAL Windkraft Verwaltungs GmbH', 'Re-Pak Folien-GmbH', 'ReHo UG (haftungsbeschränkt)', 'Rüthener Zargenbau - Verwaltungsgesellschaft mit beschränkter Haftung', 'Rüthing GmbH', 'SBB Sauerländer Boden- & Baustoffverwertung GmbH', 'SGS EDV @ND MORE großhandelsgesellschaft mbh', 'STR consulting & service GmbH', 'SZ Grundbesitz Werl GmbH', 'Sablotny GmbH', 'Sauerland Hotels GmbH', 'Scholand GmbH', 'Schomaker Buchbinde-GmbH.', 'Schütte Bedachungs GmbH', 'TONIS Gebäudedämmung UG (haftungsbeschränkt)', 'TSG Trinkwasser Service GmbH', 'Team:plan3 Verwaltungs- und Beteiligungs- GmbH', 'Training4solutions GmbH', 'Valerius Logistik GmbH', 'Vollmers & Schulte-Lohgerber Immobilien GmbH', 'WFB Wortmann FormBeton UG (haftungsbeschränkt)', 'WMS Montage und Service GmbH', 'Wimmeler Planen und Bauen GmbH', 'Wächter GmbH Bedachungen', 'Zientek UG (haftungsbeschränkt)', 'Zimmerei Scheffer GmbH', 'Zimmermann GmbH', 'Zöllner & Zöllner Wirtschaftsberatungsgesellschaft mbH Steuerberatungsgesellschaft', 'eVisionInvestUG (haftungsbeschränkt)', 'maiworm.IT GmbH', 'semQ UG (haftungsbeschränkt)']"
Arnstadt,[]
Arnstadt Zweigstelle Ilmenau,[]
Aschaffenburg,"['1A Computertechnik GmbH', 'A & C GmbH', 'AIRCALL Reiseservice GmbH', 'AMM Maschinen-Montage GmbH', 'AURECA UG (haftungsbeschränkt)', 'Alex Abbruch UG (haftungsbeschränkt)', 'Auto-Service Neuwirth GmbH', 'Autohaus Staab GmbH', 'B. K. Druck und Service UG (haftungsbeschränkt)', 'BAYER MUSIC ! trade, entertainment & promotion GmbH', 'Bachmann Architekten GmbH', 'Bear Druck GmbH', 'Benedict Systemfertigung GmbH', 'Blast UG (haftungsbeschränkt)', 'Brass Immobiliengesellschaft Verwaltungs GmbH', 'Braunbeck Gesellschaft mit beschränkter Haftung', 'Bruno Schneider GmbH', 'Büttner-Kraus Wohnbau GmbH', 'CPT Marketing und Vermietung Verwaltungs GmbH', 'CaloryCoach Holding GmbH', 'Car Agent UG (haftungsbeschränkt)', 'Carmen Huster UG (haftungsbeschränkt)', 'City Casino GmbH', 'Craft Works GmbH', 'DEK Bauservice GmbH', 'DELTA Facility Management GmbH', 'Dorfladen Eichenberg UG (haftungsbeschränkt)', 'Druckflex-Kuchenbrod GmbH', 'EBRA Verwaltungs GmbH', 'EVG Entsorgungs- und Verwaltungsgesellschaft mbH', 'Edgar Schäfer Grundstücksverwaltungs-GmbH', 'Elke Schmitt Verwaltungs-GmbH', 'Euro Akademie Berufsfachschulen und Fachakademie für Sozialpädagogik und Erzieher Main Tauber gGmbH', 'Euro-Berufsfachschule für Wirtschaft- und Fremdsprachen gGmbH', 'FMS - Computer GmbH', 'Foit Holding UG (haftungsbeschränkt)', 'Frame Store Film & Entertainment GmbH', 'Fridolin Bauer GmbH Damenoberbekleidung', 'Fuchs Messebau Verwaltungs GmbH', 'G + S Project GmbH', 'GS.net Admin GmbH', 'Georg Berberich UG (haftungsbeschränkt)', 'Gute Zeit Pflege 24 APD GmbH', 'HKS-Kuchenbrod GmbH', 'Hau Consulting GmbH', 'Heinrich Bollmann Gesellschaft mit beschränkter Haftung', 'Heissler GmbH', 'Holzbau Pfister UG (haftungsbeschränkt)', 'Hydrobotaniker GmbH', 'IMPEX Lederwaren Import- Export GmbH', 'ITR Internationale Touristik Reisen GmbH', 'Il Cucinaio 1 GmbH', 'Imperial Products UG (haftungsbeschränkt)', 'InsForCom - Institute for Forensic Computing GmbH', 'JPM Trading GmbH', 'Jakob-Vermögensverwaltung GmbH', 'Johannes Hasenstab UG (haftungsbeschränkt)', 'Josef Milde GmbH', 'Josef Väth Ölhydraulik-Anlagen Gesellschaft mit beschränkter Haftung', 'Jugend mit Zukunft gemeinnützige Gesellschaft mbH', 'KBS Schornsteinsanierung GmbH', 'KFZ Meisterbetrieb Fries GmbH', 'Krause & Rinker GmbH - Dachdeckermeisterbetrieb', 'Kuntz Vermögensverwaltungs GmbH', 'LISION GmbH', 'LetMeRepair Rhein-Main GmbH', 'Linei GmbH', 'Lionda GmbH', 'Logwin Road + Rail Deutschland GmbH', 'MB-Service GmbH', 'MBZ Management Bekleidung Zenglein GmbH', 'MHT GmbH', 'MME Main.Music.Event UG (haftungsbeschränkt)', 'Mach Dich Wach! GmbH', 'Main-Echo Verlags- und Verwaltungs GmbH', 'Manfred Rückert GmbH', 'Metallbau Naumann GmbH', 'Neuner Kommunikationselektronik-Vertriebsgesellschaft mbH', 'Nozomi GmbH', 'OPExx Aschaffenburg GmbH Worldwide Courier', 'Otto Krippner Bauunternehmung GmbH', 'PROSOL Verwaltungs-GmbH', 'PYTHA Lab GmbH', 'Primekss Germany GmbH', 'Reis & Gensler Verwaltungs UG (haftungsbeschränkt)', 'S&H INCON GmbH', 'SEVIDOM GmbH', 'Schmitt Fit UG (haftungsbeschränkt)', 'Solidplex GmbH', 'SpessartFinanz GmbH', 'Stenger GmbH', 'T & B Travel und Businesspress GmbH', 'TCAbTs Controlling GmbH', 'Uwe Gleich Beteiligungs GmbH', 'Vicura Pflegedienst GmbH', 'WENZEL Messtechnik GmbH', 'Walter Eckstein - Verwaltungsgesellschaft mit beschränkter Haftung', 'Wörth/Reifenberg Verwaltungs UG (haftungsbeschränkt)', 'XRF Scientific Europe GmbH', 'dinoexpress Logistik GmbH']"
Augsburg,"['3Q.ag GmbH', 'A + B Consulting GmbH', 'A3 Innovationsfonds GmbH', 'AMG Projekt 100 GmbH', 'ASG Wohnbau GmbH', 'AWAG Autowasch- und Servicegesellschaft mbH', 'Andreas Schmid Holding GmbH', 'Anthuber Immobilien GmbH', 'Anton Lippert GmbH', 'Architekturbüro Krämer GmbH', 'Augsburger Hof Rolf Meder GmbH', 'Auto Bachmair GmbH', 'Autohaus Betzmeir GmbH', 'BMS Auto-Service Handelsgesellschaft mbH', 'BSR GmbH', 'BaumKonzepte Verwaltungs-GmbH', 'Biobauern Naturschutz GmbH', 'Bodenwelt mit Gestaltung UG (haftungsbeschränkt)', 'Bradl Immobilien GmbH', 'Cafe Madlon GmbH', 'Centrum Novem UG (haftungsbeschränkt)', 'Certus Software GmbH', 'Cimplit GmbH', 'DECKERFORM Injection GmbH', 'DIEWE GmbH', 'Deininger Fahrzeugtechnik UG (haftungsbeschränkt)', 'Deuter Zelt- und Hallenbau GmbH', 'Diako-Service GmbH Augsburg', 'Dichtl Verwaltungs-GmbH', 'Dienstleistung Delphin UG (haftungsbeschränkt)', 'DigitCode GmbH', 'EDV-Epp GmbH', 'ERDTEX Textil-Recycling Handels GmbH', 'FKS Finanzen nach Maß Beteiligungsgesellschaft mbH', 'FST GmbH', 'Fenster + Türen Franz Karl Verwaltungs GmbH', 'Franz Egenberger GmbH Milchwerk', 'Friedberger Grundbesitz GmbH', 'Friedrich Steinle Kraftverkehr Gesellschaft mit beschränkter Haftung', 'GLZ-Förster GmbH', 'Glas Seele GmbH', 'H.E.I.M. Estrich GmbH', 'HT-Holding GmbH', 'Hansdampf GmbH Service rund ums Haus', 'Harrer Bau Verwaltungs GmbH', 'Hauser Wohnbau GmbH', 'Holzbau Hartl GmbH', 'Hunger Maschinen Vertriebs-GmbH', 'IT LAW AND ORDER UG (haftungsbeschränkt)', 'Ingenieurbüro für Bauwesen BGP GmbH', 'JACK Immobilien und Projektentwicklung GmbH', 'JS Consulting GmbH', 'KANALOA Verwaltung GmbH', 'KAYA VEDA Ayurvedische Spezialkosmetik GmbH', 'KLIVER Markt Augsburg GmbH', 'KRAGLER Immobilien GmbH', 'Kapfer Ingenieure Verwaltungs GmbH', 'Kinzig UG (haftungsbeschränkt)', 'Kolb Vermögensverwaltungs GmbH', 'Krist GmbH Bauunternehmen- Zimmerei', 'Kutzschbach INNOVATIONS GmbH', 'L & K Maler- und Trockenbau UG (haftungsbeschränkt)', 'Lebus International Engineers Gesellschaft mit beschränkter Haftung', 'Logistik XTRA GmbH', 'Luff Abbruch & Recycling GmbH', 'MIS Mannhardt Verwaltungs GmbH', 'MSA-Schilcher GmbH', 'Makler 66 Versicherungsmakler UG (haftungsbeschränkt)', 'Martini Gewerbeimmobilien GmbH', 'Middendorf Midnight GmbH', 'MultiTrust Capitalpartners GmbH', 'NGP Next Generation Pallets GmbH', 'NW Verwaltungs GmbH', 'Norbert J. Hitzelberger Versicherungsmakler im Fuchstal GmbH', 'Papageno Abwicklungs GmbH', 'Parody Verwaltungs GmbH', 'Pflegedienst Adelina GmbH', 'Prima Leben 24 gGmbH', 'ProChannel GmbH', 'PsiTec GmbH', 'R+S Maschinenhandel GmbH', 'REWI GmbH', 'Recycling Service Langer GmbH', 'Schießl & Co. GmbH', 'Schreinerei Schmid GmbH', 'Schröppel Verwaltungs GmbH', 'Siegbert Riesenegger GmbH', 'Steepler GmbH', 'SuKo Vermögensverwaltung GmbH', 'Systempartner Computervertriebs GmbH', 'TGA Management GmbH', 'TIGRA GmbH', 'Terranea UG (haftungsbeschränkt)', 'Timejo GmbH', 'Uhlmann Beteiligung- und Beratungsgesellschaft UG (haftungsbeschränkt)', 'VP Media GmbH', 'WinD SolutionS GmbH', 'Wirtschaftskanzlei Hofmann & Drexler GmbH', 'Zinsmeister GmbH', 'wortek GmbH']"
