city_name,program_name
Aachen,"['AMBICA EDELSTAHL GmbH', 'Aixery GmbH', 'Aixonix Beteiligungs- und Verwaltungs GmbH', 'Anstrich Heinen Gesellschaft mit beschränkter Haftung', 'B.F.G. Beton-Fördergesellschaft mit beschränkter Haftung Aachen-Düren-Jülich', 'BESTEMA Verwaltungs GmbH', 'BG Gastronomie GmbH', 'Birgus GmbH', 'Brilliant Chem Europe GmbH', 'C & O Travel - Laurensberger Reisebüro GmbH']"
Altenburg,[]
Amberg,"['AMA GmbH', 'Alois Auer Verwaltungs GmbH', 'Amberger Sportpark GmbH', 'Anlagen- und Umwelttechnologie A I - A III - B GmbH', 'Auto Feldmeier GmbH', 'Autohaus Groß GmbH', 'Autohaus Lehner GmbH', 'B&H Verwaltungs-GmbH', 'BIG Bau-Verwaltungs-GmbH', 'BKFZ GmbH']"
Ansbach,"['ALBOMA GmbH', 'AOS Akustik Office Systeme GmbH', 'Actuator Solutions GmbH', 'Adventure Campus GmbH', 'AngelHAACK Verwaltungs GmbH', 'BBT Vermögensverwaltungs GmbH', 'Bagger - Bast Betriebs GmbH', 'Bauereiß GmbH', 'Beil Immobiliendienstleistungs GmbH', 'Bioenergie Steingruber Verwaltungs-GmbH']"
Apolda,[]
Arnsberg,"['""FRAU"" Verwaltung GmbH', 'ANFOTEC Antriebstechnologie GmbH', 'ATILUM Projektlicht GmbH', 'ATW - Abdichtungstechnik Winterberg GmbH', 'Aland GmbH', 'Alentec GmbH', 'Alte Vogtei UG (haftungsbeschränkt)', 'Autoservice Sydow GmbH', 'BIOLANDBAU Kemper GmbH', 'Bauunternehmung Einhäuser GmbH']"
Arnstadt,[]
Arnstadt Zweigstelle Ilmenau,[]
Aschaffenburg,"['1A Computertechnik GmbH', 'A & C GmbH', 'AIRCALL Reiseservice GmbH', 'AMM Maschinen-Montage GmbH', 'AURECA UG (haftungsbeschränkt)', 'Alex Abbruch UG (haftungsbeschränkt)', 'Auto-Service Neuwirth GmbH', 'Autohaus Staab GmbH', 'B. K. Druck und Service UG (haftungsbeschränkt)', 'BAYER MUSIC ! trade, entertainment & promotion GmbH']"
Augsburg,"['3Q.ag GmbH', 'A + B Consulting GmbH', 'A3 Innovationsfonds GmbH', 'AMG Projekt 100 GmbH', 'ASG Wohnbau GmbH', 'AWAG Autowasch- und Servicegesellschaft mbH', 'Andreas Schmid Holding GmbH', 'Anthuber Immobilien GmbH', 'Anton Lippert GmbH', 'Architekturbüro Krämer GmbH']"
